|ID       |CUSTOMER ID |EMPLOYEE ID   |TOUR SCHEDULE ID    |DATE                     |TOTAL               |
|INV-001  |C003        |E003          |TS111               |20/11/2024 20:53:50      |1450000             |

|INV-002  |C003        |E001          |TS123               |20/11/2024 20:54:19      |4500000             |

|INV-003  |C004        |E001          |TS888               |20/11/2024 20:54:53      |10000000            |

|INV-004  |C006        |E004          |TS199               |20/11/2024 20:57:03      |7500000             |

|INV-005  |C003        |E002          |TS111               |20/11/2024 20:57:40      |1700000             |

|INV-006  |C005        |E002          |TS464               |20/11/2024 20:58:11      |4000000             |

|INV-007  |C009        |E002          |TS123               |20/11/2024 20:58:41      |3750000             |

|INV-008  |C005        |E003          |TS222               |20/11/2024 20:59:35      |7500000             |

|INV-009  |C003        |E002          |TS122               |20/11/2024 20:59:59      |2250000             |

|INV-010  |C005        |E002          |TS123               |20/11/2024 21:00:23      |3750000             |

|INV-011  |C003        |E003          |TS666               |21/11/2024 18:28:12      |4200                |

|INV-012  |C003        |E001          |TS777               |21/11/2024 18:29:20      |9000                |

|INV-013  |C004        |E002          |TS222               |21/11/2024 23:13:43      |2722500             |

